"datetime","NO","NOy","qc_flag_NO","qc_flag_NOy"
"2025-12-15 20:00:00",0.284066666666667,6.47753333333333,"1b","1b"
"2025-12-15 21:00:00",0.774383333333333,11.2414833333333,"1b","1b"
"2025-12-15 22:00:00",0.259183333333333,9.2584,"1b","1b"
"2025-12-15 23:00:00",0.222533333333333,7.78348333333333,"1b","1b"
"2025-12-16 00:00:00",0.215366666666667,8.91805,"1b","1b"
"2025-12-16 01:00:00",0.16575,7.6989,"1b","1b"
"2025-12-16 02:00:00",0.13985,4.5822,"1b","1b"
"2025-12-16 03:00:00",0.16865,5.84913333333333,"1b","1b"
"2025-12-16 04:00:00",0.0838,3.27911666666667,"1b","1b"
"2025-12-16 05:00:00",0.127,5.42601666666667,"1b","1b"
"2025-12-16 06:00:00",0.42195,8.03471666666667,"1b","1b"
"2025-12-16 07:00:00",0.34455,8.75186666666667,"1b","1b"
"2025-12-16 08:00:00",0.645466666666667,10.6920166666667,"1b","1b"
"2025-12-16 09:00:00",0.813,10.3611166666667,"1b","1b"
"2025-12-16 10:00:00",2.18858333333333,16.7105833333333,"1b","1b"
"2025-12-16 11:00:00",4.18096666666667,18.9526833333333,"1b","1b"
"2025-12-16 12:00:00",2.65226666666667,12.6523333333333,"1b","1b"
"2025-12-16 13:00:00",1.70861666666667,8.82441666666667,"1b","1b"
"2025-12-16 14:00:00",0.896866666666667,9.7156,"1b","1b"
"2025-12-16 15:00:00",4.41478333333333,18.1575833333333,"1b","1b"
"2025-12-16 16:00:00",7.30526666666667,31.67625,"1b","1b"
"2025-12-16 17:00:00",7.84853333333333,34.3734166666667,"1b","1b"
"2025-12-16 18:00:00",16.6893833333333,44.6026333333333,"1b","1b"
"2025-12-16 19:00:00",11.203,36.5486,"1b","1b"
"2025-12-16 20:00:00",32.6031833333333,55.4563666666667,"1b","1b"
"2025-12-16 21:00:00",48.6165333333333,68.4572333333333,"1b","1b"
"2025-12-16 22:00:00",62.5636,80.6684166666667,"1b","1b"
"2025-12-16 23:00:00",54.1905333333333,70.8943833333333,"1b","1b"
"2025-12-17 00:00:00",15.3925333333333,28.7961166666667,"1b","1b"
"2025-12-17 01:00:00",4.53965,17.7164333333333,"1b","1b"
"2025-12-17 02:00:00",0.550766666666667,9.4575,"1b","1b"
"2025-12-17 03:00:00",1.95018333333333,10.4154833333333,"1b","1b"
"2025-12-17 04:00:00",3.04375,12.5096666666667,"1b","1b"
