"datetime","BC_370_nm","BC_470_nm","BC_520_nm","BC_590_nm","BC_660_nm","BC_880_nm","BC_950_nm","qc_flag_BC_370_nm","qc_flag_BC_470_nm","qc_flag_BC_520_nm","qc_flag_BC_590_nm","qc_flag_BC_660_nm","qc_flag_BC_880_nm","qc_flag_BC_950_nm"
2021-10-16 15:00:00,0.932366666666667,0.874416666666667,0.820216666666667,0.798016666666667,0.763783333333333,0.7112,0.729166666666667,"1b","1b","1b","1b","1b","1b","1b"
2021-10-16 16:00:00,1.23817857142857,1.10892857142857,1.03385714285714,1.00541071428571,0.960767857142857,0.902410714285714,0.922535714285714,"1b","1b","1b","1b","1b","1b","1b"
2021-10-16 17:00:00,1.60495,1.46121666666667,1.34601666666667,1.30665,1.24521666666667,1.18578333333333,1.18533333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-10-16 18:00:00,2.2967,2.206,2.04565,1.99235,1.90421666666667,1.82836666666667,1.83203333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-10-16 19:00:00,2.75945,2.64013333333333,2.46158333333333,2.40041666666667,2.2857,2.20676666666667,2.21473333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-10-16 20:00:00,2.44348333333333,2.21116666666667,2.04086666666667,1.97235,1.84848333333333,1.76821666666667,1.77021666666667,"1b","1b","1b","1b","1b","1b","1b"
2021-10-16 21:00:00,2.65055,2.37283333333333,2.18338333333333,2.10548333333333,1.96388333333333,1.9031,1.90863333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-10-16 22:00:00,1.79858333333333,1.58223333333333,1.44558333333333,1.3836,1.27455,1.22725,1.22558333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-10-16 23:00:00,1.12186666666667,1.01151666666667,0.9269,0.890433333333333,0.8174,0.795333333333333,0.793383333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-10-17,1.0389696969697,0.801121212121212,0.732575757575758,0.705151515151515,0.66130303030303,0.606636363636364,0.616090909090909,"1b","1b","1b","1b","1b","1b","1b"
2021-10-17 01:00:00,0.867216666666667,0.741916666666667,0.672116666666667,0.644,0.603766666666667,0.574533333333333,0.569416666666667,"1b","1b","1b","1b","1b","1b","1b"
2021-10-17 02:00:00,0.6527,0.591433333333333,0.5405,0.520233333333333,0.4914,0.468483333333333,0.4656,"1b","1b","1b","1b","1b","1b","1b"
